agent PreviousPosition:None, CurrentPosition:AD --> g = 0, h = 4798, f = 4798, action: None
agent PreviousPosition:O, CurrentPosition:L --> g = 770, h = 3946, f = 4716, action: ('moveAndDrop', 'L')
agent PreviousPosition:AC, CurrentPosition:AC --> g = 904, h = 3814, f = 4718, action: ('take', <package.Package instance at 0xb6aecf8>)
agent PreviousPosition:AC, CurrentPosition:O --> g = 1108, h = 3610, f = 4718, action: ('moveAndDrop', 'O')
agent PreviousPosition:AC, CurrentPosition:L --> g = 1036, h = 3682, f = 4718, action: ('moveAndDrop', 'L')
agent PreviousPosition:O, CurrentPosition:O --> g = 700, h = 4018, f = 4718, action: ('take', <package.Package instance at 0xa8dc830>)
agent PreviousPosition:L, CurrentPosition:L --> g = 773, h = 3946, f = 4719, action: ('take', <package.Package instance at 0xb2ca9e0>)
agent PreviousPosition:O, CurrentPosition:O --> g = 1110, h = 3610, f = 4720, action: ('take', <package.Package instance at 0xd091170>)
agent PreviousPosition:O, CurrentPosition:A --> g = 1230, h = 3490, f = 4720, action: ('moveAndDrop', 'A')
agent PreviousPosition:AC, CurrentPosition:AC --> g = 906, h = 3814, f = 4720, action: ('take', <package.Package instance at 0xb7bf7a0>)
agent PreviousPosition:AC, CurrentPosition:O --> g = 1144, h = 3454, f = 4598, action: ('moveAndDrop', 'O')
agent PreviousPosition:O, CurrentPosition:C --> g = 1276, h = 3322, f = 4598, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:C --> g = 1278, h = 3322, f = 4600, action: ('take', <package.Package instance at 0x117c5b00>)
agent PreviousPosition:C, CurrentPosition:H --> g = 1446, h = 3154, f = 4600, action: ('moveAndDrop', 'H')
agent PreviousPosition:O, CurrentPosition:O --> g = 1146, h = 3454, f = 4600, action: ('take', <package.Package instance at 0x112af710>)
agent PreviousPosition:O, CurrentPosition:A --> g = 1286, h = 3262, f = 4548, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:C --> g = 1346, h = 3202, f = 4548, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:C --> g = 1348, h = 3202, f = 4550, action: ('take', <package.Package instance at 0x14715998>)
agent PreviousPosition:C, CurrentPosition:H --> g = 1516, h = 3034, f = 4550, action: ('moveAndDrop', 'H')
agent PreviousPosition:A, CurrentPosition:A --> g = 1288, h = 3262, f = 4550, action: ('take', <package.Package instance at 0x13d28248>)
agent PreviousPosition:H, CurrentPosition:H --> g = 1518, h = 3034, f = 4552, action: ('take', <package.Package instance at 0x15c20d40>)
agent PreviousPosition:H, CurrentPosition:A --> g = 1674, h = 2878, f = 4552, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:A --> g = 1676, h = 2878, f = 4554, action: ('take', <package.Package instance at 0x177960e0>)
agent PreviousPosition:A, CurrentPosition:E --> g = 1772, h = 2782, f = 4554, action: ('moveAndDrop', 'E')
agent PreviousPosition:H, CurrentPosition:H --> g = 1520, h = 3034, f = 4554, action: ('take', <package.Package instance at 0x1637b710>)
agent PreviousPosition:H, CurrentPosition:A --> g = 1702, h = 2770, f = 4472, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:C --> g = 1762, h = 2710, f = 4472, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:A --> g = 1704, h = 2770, f = 4474, action: ('take', <package.Package instance at 0x19e00368>)
agent PreviousPosition:H, CurrentPosition:C --> g = 1716, h = 2770, f = 4486, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:A --> g = 1776, h = 2710, f = 4486, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:A --> g = 1778, h = 2710, f = 4488, action: ('take', <package.Package instance at 0x1c35fcf8>)
agent PreviousPosition:A, CurrentPosition:E --> g = 1874, h = 2614, f = 4488, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:E --> g = 1876, h = 2614, f = 4490, action: ('take', <package.Package instance at 0x1d7975a8>)
agent PreviousPosition:E, CurrentPosition:Q --> g = 2008, h = 2482, f = 4490, action: ('moveAndDrop', 'Q')
agent PreviousPosition:A, CurrentPosition:A --> g = 1780, h = 2710, f = 4490, action: ('take', <package.Package instance at 0x1cc59878>)
agent PreviousPosition:A, CurrentPosition:E --> g = 1892, h = 2518, f = 4410, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:E --> g = 1894, h = 2518, f = 4412, action: ('take', <package.Package instance at 0x1fdfd878>)
agent PreviousPosition:E, CurrentPosition:Q --> g = 2026, h = 2386, f = 4412, action: ('moveAndDrop', 'Q')
agent PreviousPosition:Q, CurrentPosition:Q --> g = 2029, h = 2386, f = 4415, action: ('take', <package.Package instance at 0x216e2dd0>)
agent PreviousPosition:Q, CurrentPosition:U --> g = 2185, h = 2230, f = 4415, action: ('moveAndDrop', 'U')
agent PreviousPosition:E, CurrentPosition:E --> g = 1897, h = 2518, f = 4415, action: ('take', <package.Package instance at 0x206d6368>)
agent PreviousPosition:U, CurrentPosition:U --> g = 2187, h = 2230, f = 4417, action: ('take', <package.Package instance at 0x22865fc8>)
agent PreviousPosition:U, CurrentPosition:I --> g = 2247, h = 2170, f = 4417, action: ('moveAndDrop', 'I')
agent PreviousPosition:E, CurrentPosition:S --> g = 2002, h = 2434, f = 4436, action: ('moveAndDrop', 'S')
agent PreviousPosition:S, CurrentPosition:S --> g = 2004, h = 2434, f = 4438, action: ('take', <package.Package instance at 0x21706998>)
agent PreviousPosition:S, CurrentPosition:Q --> g = 2060, h = 2362, f = 4422, action: ('moveAndDrop', 'Q')
agent PreviousPosition:Q, CurrentPosition:U --> g = 2204, h = 2218, f = 4422, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:U --> g = 2206, h = 2218, f = 4424, action: ('take', <package.Package instance at 0x26946b00>)
agent PreviousPosition:U, CurrentPosition:I --> g = 2266, h = 2158, f = 4424, action: ('moveAndDrop', 'I')
agent PreviousPosition:Q, CurrentPosition:Q --> g = 2063, h = 2362, f = 4425, action: ('take', <package.Package instance at 0x261a71b8>)
agent PreviousPosition:Q, CurrentPosition:U --> g = 2243, h = 2062, f = 4305, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:U --> g = 2245, h = 2062, f = 4307, action: ('take', <package.Package instance at 0x28e99a70>)
agent PreviousPosition:U, CurrentPosition:I --> g = 2305, h = 2002, f = 4307, action: ('moveAndDrop', 'I')
agent PreviousPosition:U, CurrentPosition:I --> g = 2293, h = 2062, f = 4355, action: ('moveAndDrop', 'I')
agent PreviousPosition:I, CurrentPosition:U --> g = 2355, h = 2002, f = 4357, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:L --> g = 2313, h = 2062, f = 4375, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:L --> g = 2316, h = 2062, f = 4378, action: ('take', <package.Package instance at 0x29883b90>)
agent PreviousPosition:L, CurrentPosition:U --> g = 2407, h = 1971, f = 4378, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:U --> g = 2409, h = 1971, f = 4380, action: ('take', <package.Package instance at 0x2d082248>)
agent PreviousPosition:U, CurrentPosition:I --> g = 2469, h = 1911, f = 4380, action: ('moveAndDrop', 'I')
agent PreviousPosition:I, CurrentPosition:L --> g = 2385, h = 2002, f = 4387, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:L --> g = 2388, h = 2002, f = 4390, action: ('take', <package.Package instance at 0x2aaf1560>)
agent PreviousPosition:L, CurrentPosition:U --> g = 2479, h = 1911, f = 4390, action: ('moveAndDrop', 'U')
agent PreviousPosition:Q, CurrentPosition:L --> g = 2168, h = 2237, f = 4405, action: ('moveAndDrop', 'L')
agent PreviousPosition:U, CurrentPosition:O --> g = 2353, h = 2062, f = 4415, action: ('moveAndDrop', 'O')
agent PreviousPosition:U, CurrentPosition:Q --> g = 2363, h = 2062, f = 4425, action: ('moveAndDrop', 'Q')
agent PreviousPosition:I, CurrentPosition:O --> g = 2425, h = 2002, f = 4427, action: ('moveAndDrop', 'O')
agent PreviousPosition:I, CurrentPosition:E --> g = 2425, h = 2002, f = 4427, action: ('moveAndDrop', 'E')
agent PreviousPosition:I, CurrentPosition:A --> g = 2425, h = 2002, f = 4427, action: ('moveAndDrop', 'A')
agent PreviousPosition:U, CurrentPosition:L --> g = 2329, h = 2098, f = 4427, action: ('moveAndDrop', 'L')
agent PreviousPosition:U, CurrentPosition:I --> g = 2457, h = 1971, f = 4428, action: ('moveAndDrop', 'I')
agent PreviousPosition:A, CurrentPosition:A --> g = 2427, h = 2002, f = 4429, action: ('take', <package.Package instance at 0x2a751d40>)
agent PreviousPosition:A, CurrentPosition:U --> g = 2631, h = 1798, f = 4429, action: ('moveAndDrop', 'U')
agent PreviousPosition:A, CurrentPosition:I --> g = 2571, h = 1858, f = 4429, action: ('moveAndDrop', 'I')
agent PreviousPosition:L, CurrentPosition:L --> g = 2332, h = 2098, f = 4430, action: ('take', <package.Package instance at 0x2a131170>)
agent PreviousPosition:L, CurrentPosition:I --> g = 2452, h = 1976, f = 4428, action: ('moveAndDrop', 'I')
agent PreviousPosition:E, CurrentPosition:E --> g = 2428, h = 2002, f = 4430, action: ('take', <package.Package instance at 0x2a8b0290>)
agent PreviousPosition:E, CurrentPosition:H --> g = 2597, h = 1833, f = 4430, action: ('moveAndDrop', 'H')
agent PreviousPosition:H, CurrentPosition:H --> g = 2600, h = 1833, f = 4433, action: ('take', <package.Package instance at 0x382936c8>)
agent PreviousPosition:H, CurrentPosition:C --> g = 2782, h = 1651, f = 4433, action: ('moveAndDrop', 'C')
agent PreviousPosition:I, CurrentPosition:S --> g = 2435, h = 2002, f = 4437, action: ('moveAndDrop', 'S')
agent PreviousPosition:I, CurrentPosition:Q --> g = 2435, h = 2002, f = 4437, action: ('moveAndDrop', 'Q')
agent PreviousPosition:I, CurrentPosition:C --> g = 2435, h = 2002, f = 4437, action: ('moveAndDrop', 'C')
agent PreviousPosition:Q, CurrentPosition:L --> g = 2120, h = 2321, f = 4441, action: ('moveAndDrop', 'L')
agent PreviousPosition:U, CurrentPosition:AD --> g = 2383, h = 2062, f = 4445, action: ('moveAndDrop', 'AD')
agent PreviousPosition:U, CurrentPosition:S --> g = 2383, h = 2062, f = 4445, action: ('moveAndDrop', 'S')
agent PreviousPosition:Q, CurrentPosition:I --> g = 2258, h = 2187, f = 4445, action: ('moveAndDrop', 'I')
agent PreviousPosition:Q, CurrentPosition:L --> g = 2144, h = 2302, f = 4446, action: ('moveAndDrop', 'L')
agent PreviousPosition:AD, CurrentPosition:AD --> g = 2385, h = 2062, f = 4447, action: ('take', <package.Package instance at 0x29d7a050>)
agent PreviousPosition:AD, CurrentPosition:L --> g = 2493, h = 1954, f = 4447, action: ('moveAndDrop', 'L')
agent PreviousPosition:U, CurrentPosition:L --> g = 2477, h = 1971, f = 4448, action: ('moveAndDrop', 'L')
agent PreviousPosition:AD, CurrentPosition:AD --> g = 2387, h = 2062, f = 4449, action: ('take', <package.Package instance at 0x2c66d0e0>)
agent PreviousPosition:AD, CurrentPosition:L --> g = 2513, h = 1846, f = 4359, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:V --> g = 2621, h = 1738, f = 4359, action: ('moveAndDrop', 'V')
agent PreviousPosition:V, CurrentPosition:V --> g = 2623, h = 1738, f = 4361, action: ('take', <package.Package instance at 0x416c95f0>)
agent PreviousPosition:V, CurrentPosition:Q --> g = 2815, h = 1546, f = 4361, action: ('moveAndDrop', 'Q')
agent PreviousPosition:V, CurrentPosition:L --> g = 2731, h = 1630, f = 4361, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:L --> g = 2516, h = 1846, f = 4362, action: ('take', <package.Package instance at 0x40b70830>)
agent PreviousPosition:V, CurrentPosition:V --> g = 2625, h = 1738, f = 4363, action: ('take', <package.Package instance at 0x4192ed40>)
agent PreviousPosition:L, CurrentPosition:L --> g = 2734, h = 1630, f = 4364, action: ('take', <package.Package instance at 0x42849638>)
agent PreviousPosition:V, CurrentPosition:L --> g = 2751, h = 1618, f = 4369, action: ('moveAndDrop', 'L')
agent PreviousPosition:Q, CurrentPosition:S --> g = 2855, h = 1546, f = 4401, action: ('moveAndDrop', 'S')
agent PreviousPosition:L, CurrentPosition:O --> g = 2803, h = 1606, f = 4409, action: ('moveAndDrop', 'O')
agent PreviousPosition:V, CurrentPosition:AC --> g = 2793, h = 1618, f = 4411, action: ('moveAndDrop', 'AC')
agent PreviousPosition:AC, CurrentPosition:Q --> g = 3009, h = 1402, f = 4411, action: ('moveAndDrop', 'Q')
agent PreviousPosition:AC, CurrentPosition:L --> g = 2925, h = 1486, f = 4411, action: ('moveAndDrop', 'L')
agent PreviousPosition:Q, CurrentPosition:O --> g = 2865, h = 1546, f = 4411, action: ('moveAndDrop', 'O')
agent PreviousPosition:AC, CurrentPosition:AC --> g = 2795, h = 1618, f = 4413, action: ('take', <package.Package instance at 0x44ff4d40>)
agent PreviousPosition:AC, CurrentPosition:O --> g = 3033, h = 1258, f = 4291, action: ('moveAndDrop', 'O')
agent PreviousPosition:O, CurrentPosition:Q --> g = 3093, h = 1198, f = 4291, action: ('moveAndDrop', 'Q')
agent PreviousPosition:AC, CurrentPosition:L --> g = 2949, h = 1354, f = 4303, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:Q --> g = 3047, h = 1258, f = 4305, action: ('moveAndDrop', 'Q')
agent PreviousPosition:Q, CurrentPosition:O --> g = 3107, h = 1198, f = 4305, action: ('moveAndDrop', 'O')
agent PreviousPosition:Q, CurrentPosition:S --> g = 3133, h = 1198, f = 4331, action: ('moveAndDrop', 'S')
agent PreviousPosition:Q, CurrentPosition:L --> g = 3163, h = 1198, f = 4361, action: ('moveAndDrop', 'L')
agent PreviousPosition:Q, CurrentPosition:A --> g = 3163, h = 1198, f = 4361, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:A --> g = 3165, h = 1198, f = 4363, action: ('take', <package.Package instance at 0x4ac44c68>)
agent PreviousPosition:A, CurrentPosition:U --> g = 3369, h = 994, f = 4363, action: ('moveAndDrop', 'U')
agent PreviousPosition:A, CurrentPosition:I --> g = 3309, h = 1054, f = 4363, action: ('moveAndDrop', 'I')
agent PreviousPosition:O, CurrentPosition:S --> g = 3117, h = 1246, f = 4363, action: ('moveAndDrop', 'S')
agent PreviousPosition:L, CurrentPosition:L --> g = 3166, h = 1198, f = 4364, action: ('take', <package.Package instance at 0x4b1146c8>)
agent PreviousPosition:L, CurrentPosition:U --> g = 3257, h = 1107, f = 4364, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:U --> g = 3371, h = 994, f = 4365, action: ('take', <package.Package instance at 0x4ee17488>)
agent PreviousPosition:U, CurrentPosition:I --> g = 3431, h = 934, f = 4365, action: ('moveAndDrop', 'I')
agent PreviousPosition:U, CurrentPosition:U --> g = 3259, h = 1107, f = 4366, action: ('take', <package.Package instance at 0x51228fc8>)
agent PreviousPosition:U, CurrentPosition:I --> g = 3319, h = 1047, f = 4366, action: ('moveAndDrop', 'I')
agent PreviousPosition:Q, CurrentPosition:AD --> g = 3173, h = 1198, f = 4371, action: ('moveAndDrop', 'AD')
agent PreviousPosition:Q, CurrentPosition:C --> g = 3173, h = 1198, f = 4371, action: ('moveAndDrop', 'C')
agent PreviousPosition:Q, CurrentPosition:S --> g = 3095, h = 1282, f = 4377, action: ('moveAndDrop', 'S')
agent PreviousPosition:A, CurrentPosition:S --> g = 3225, h = 1162, f = 4387, action: ('moveAndDrop', 'S')
agent PreviousPosition:A, CurrentPosition:Q --> g = 3249, h = 1138, f = 4387, action: ('moveAndDrop', 'Q')
agent PreviousPosition:A, CurrentPosition:L --> g = 3309, h = 1078, f = 4387, action: ('moveAndDrop', 'L')
agent PreviousPosition:O, CurrentPosition:L --> g = 3105, h = 1282, f = 4387, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:L --> g = 3108, h = 1282, f = 4390, action: ('take', <package.Package instance at 0x4a70f248>)
agent PreviousPosition:L, CurrentPosition:L --> g = 3312, h = 1078, f = 4390, action: ('take', <package.Package instance at 0x4ee3ab00>)
agent PreviousPosition:L, CurrentPosition:U --> g = 3417, h = 903, f = 4320, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:U --> g = 3419, h = 903, f = 4322, action: ('take', <package.Package instance at 0x58c4fc20>)
agent PreviousPosition:U, CurrentPosition:I --> g = 3479, h = 843, f = 4322, action: ('moveAndDrop', 'I')
agent PreviousPosition:U, CurrentPosition:I --> g = 3467, h = 903, f = 4370, action: ('moveAndDrop', 'I')
agent PreviousPosition:I, CurrentPosition:U --> g = 3529, h = 843, f = 4372, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:L --> g = 3487, h = 903, f = 4390, action: ('moveAndDrop', 'L')
agent PreviousPosition:Q, CurrentPosition:L --> g = 3131, h = 1270, f = 4401, action: ('moveAndDrop', 'L')
agent PreviousPosition:Q, CurrentPosition:E --> g = 3203, h = 1198, f = 4401, action: ('moveAndDrop', 'E')
agent PreviousPosition:I, CurrentPosition:L --> g = 3559, h = 843, f = 4402, action: ('moveAndDrop', 'L')
agent PreviousPosition:E, CurrentPosition:E --> g = 3206, h = 1198, f = 4404, action: ('take', <package.Package instance at 0x4ad56f38>)
agent PreviousPosition:E, CurrentPosition:H --> g = 3375, h = 1029, f = 4404, action: ('moveAndDrop', 'H')
agent PreviousPosition:L, CurrentPosition:L --> g = 3134, h = 1270, f = 4404, action: ('take', <package.Package instance at 0x4c292cb0>)
agent PreviousPosition:L, CurrentPosition:S --> g = 3075, h = 1330, f = 4405, action: ('moveAndDrop', 'S')
agent PreviousPosition:H, CurrentPosition:H --> g = 3378, h = 1029, f = 4407, action: ('take', <package.Package instance at 0x5e4ac638>)
agent PreviousPosition:H, CurrentPosition:C --> g = 3560, h = 847, f = 4407, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:O --> g = 3285, h = 1126, f = 4411, action: ('moveAndDrop', 'O')
agent PreviousPosition:Q, CurrentPosition:U --> g = 3213, h = 1198, f = 4411, action: ('moveAndDrop', 'U')
agent PreviousPosition:O, CurrentPosition:AD --> g = 3117, h = 1294, f = 4411, action: ('moveAndDrop', 'AD')
agent PreviousPosition:U, CurrentPosition:U --> g = 3215, h = 1198, f = 4413, action: ('take', <package.Package instance at 0x4afe4fc8>)
agent PreviousPosition:U, CurrentPosition:I --> g = 3275, h = 1138, f = 4413, action: ('moveAndDrop', 'I')
agent PreviousPosition:U, CurrentPosition:I --> g = 3419, h = 994, f = 4413, action: ('moveAndDrop', 'I')
agent PreviousPosition:U, CurrentPosition:I --> g = 3307, h = 1107, f = 4414, action: ('moveAndDrop', 'I')
agent PreviousPosition:L, CurrentPosition:L --> g = 2928, h = 1486, f = 4414, action: ('take', <package.Package instance at 0x47a53440>)
agent PreviousPosition:I, CurrentPosition:U --> g = 3481, h = 934, f = 4415, action: ('moveAndDrop', 'U')
agent PreviousPosition:I, CurrentPosition:U --> g = 3369, h = 1047, f = 4416, action: ('moveAndDrop', 'U')
agent PreviousPosition:Q, CurrentPosition:I --> g = 3223, h = 1198, f = 4421, action: ('moveAndDrop', 'I')
agent PreviousPosition:Q, CurrentPosition:AD --> g = 3143, h = 1282, f = 4425, action: ('moveAndDrop', 'AD')
agent PreviousPosition:U, CurrentPosition:O --> g = 3527, h = 903, f = 4430, action: ('moveAndDrop', 'O')
agent PreviousPosition:Q, CurrentPosition:L --> g = 2885, h = 1546, f = 4431, action: ('moveAndDrop', 'L')
agent PreviousPosition:Q, CurrentPosition:A --> g = 2885, h = 1546, f = 4431, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:A --> g = 2887, h = 1546, f = 4433, action: ('take', <package.Package instance at 0x42d3c440>)
agent PreviousPosition:A, CurrentPosition:U --> g = 3091, h = 1342, f = 4433, action: ('moveAndDrop', 'U')
agent PreviousPosition:A, CurrentPosition:I --> g = 3031, h = 1402, f = 4433, action: ('moveAndDrop', 'I')
agent PreviousPosition:U, CurrentPosition:L --> g = 3439, h = 994, f = 4433, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:S --> g = 2839, h = 1594, f = 4433, action: ('moveAndDrop', 'S')
agent PreviousPosition:L, CurrentPosition:L --> g = 2888, h = 1546, f = 4434, action: ('take', <package.Package instance at 0x4320a248>)
agent PreviousPosition:L, CurrentPosition:U --> g = 2979, h = 1455, f = 4434, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:L --> g = 3327, h = 1107, f = 4434, action: ('moveAndDrop', 'L')
agent PreviousPosition:U, CurrentPosition:U --> g = 3093, h = 1342, f = 4435, action: ('take', <package.Package instance at 0x6969c320>)
agent PreviousPosition:U, CurrentPosition:I --> g = 3153, h = 1282, f = 4435, action: ('moveAndDrop', 'I')
agent PreviousPosition:A, CurrentPosition:C --> g = 3225, h = 1210, f = 4435, action: ('moveAndDrop', 'C')
agent PreviousPosition:O, CurrentPosition:A --> g = 3153, h = 1282, f = 4435, action: ('moveAndDrop', 'A')
agent PreviousPosition:U, CurrentPosition:U --> g = 2981, h = 1455, f = 4436, action: ('take', <package.Package instance at 0x6c39da28>)
agent PreviousPosition:U, CurrentPosition:I --> g = 3041, h = 1395, f = 4436, action: ('moveAndDrop', 'I')
agent PreviousPosition:L, CurrentPosition:L --> g = 3442, h = 994, f = 4436, action: ('take', <package.Package instance at 0x4f81d4d0>)
agent PreviousPosition:A, CurrentPosition:A --> g = 3155, h = 1282, f = 4437, action: ('take', <package.Package instance at 0x4a34f638>)
agent PreviousPosition:A, CurrentPosition:S --> g = 3225, h = 1210, f = 4435, action: ('moveAndDrop', 'S')
agent PreviousPosition:L, CurrentPosition:U --> g = 2839, h = 1599, f = 4438, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:Q --> g = 2983, h = 1455, f = 4438, action: ('moveAndDrop', 'Q')
agent PreviousPosition:U, CurrentPosition:U --> g = 2841, h = 1599, f = 4440, action: ('take', <package.Package instance at 0x454ea440>)
agent PreviousPosition:U, CurrentPosition:Q --> g = 3537, h = 903, f = 4440, action: ('moveAndDrop', 'Q')
agent PreviousPosition:Q, CurrentPosition:AD --> g = 2895, h = 1546, f = 4441, action: ('moveAndDrop', 'AD')
agent PreviousPosition:Q, CurrentPosition:C --> g = 2895, h = 1546, f = 4441, action: ('moveAndDrop', 'C')
agent PreviousPosition:I, CurrentPosition:O --> g = 3599, h = 843, f = 4442, action: ('moveAndDrop', 'O')
agent PreviousPosition:I, CurrentPosition:E --> g = 3599, h = 843, f = 4442, action: ('moveAndDrop', 'E')
agent PreviousPosition:I, CurrentPosition:A --> g = 3599, h = 843, f = 4442, action: ('moveAndDrop', 'A')
agent PreviousPosition:U, CurrentPosition:L --> g = 3503, h = 939, f = 4442, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:I --> g = 3270, h = 1172, f = 4442, action: ('moveAndDrop', 'I')
agent PreviousPosition:E, CurrentPosition:E --> g = 3602, h = 843, f = 4445, action: ('take', <package.Package instance at 0x5a69ab48>)
agent PreviousPosition:E, CurrentPosition:H --> g = 3771, h = 674, f = 4445, action: ('moveAndDrop', 'H')
agent PreviousPosition:I, CurrentPosition:L --> g = 3511, h = 934, f = 4445, action: ('moveAndDrop', 'L')
agent PreviousPosition:I, CurrentPosition:L --> g = 3399, h = 1047, f = 4446, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:L --> g = 3514, h = 934, f = 4448, action: ('take', <package.Package instance at 0x52daa488>)
agent PreviousPosition:H, CurrentPosition:H --> g = 3774, h = 674, f = 4448, action: ('take', <package.Package instance at 0x78978710>)
agent PreviousPosition:H, CurrentPosition:C --> g = 3956, h = 492, f = 4448, action: ('moveAndDrop', 'C')
agent PreviousPosition:Q, CurrentPosition:A --> g = 3131, h = 1318, f = 4449, action: ('moveAndDrop', 'A')
agent PreviousPosition:V, CurrentPosition:L --> g = 2711, h = 1738, f = 4449, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:L --> g = 2147, h = 2302, f = 4449, action: ('take', <package.Package instance at 0x26a35368>)
agent PreviousPosition:L, CurrentPosition:U --> g = 2252, h = 2127, f = 4379, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:U --> g = 2254, h = 2127, f = 4381, action: ('take', <package.Package instance at 0x7de37368>)
agent PreviousPosition:U, CurrentPosition:I --> g = 2314, h = 2067, f = 4381, action: ('moveAndDrop', 'I')
agent PreviousPosition:U, CurrentPosition:I --> g = 2302, h = 2127, f = 4429, action: ('moveAndDrop', 'I')
agent PreviousPosition:I, CurrentPosition:U --> g = 2364, h = 2067, f = 4431, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:L --> g = 2322, h = 2127, f = 4449, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:Q --> g = 2839, h = 1611, f = 4450, action: ('moveAndDrop', 'Q')
agent PreviousPosition:L, CurrentPosition:L --> g = 2496, h = 1954, f = 4450, action: ('take', <package.Package instance at 0x3f007ef0>)
agent PreviousPosition:L, CurrentPosition:U --> g = 2587, h = 1863, f = 4450, action: ('moveAndDrop', 'U')
agent PreviousPosition:A, CurrentPosition:A --> g = 3133, h = 1318, f = 4451, action: ('take', <package.Package instance at 0x4b9a7ea8>)
