agent PreviousPosition:None, CurrentPosition:A, g = 0, h = 3799, f = 3799, action: None
agent PreviousPosition:E, CurrentPosition:E --> g = 666, h = 2842, f = 3508, action: ('take', <package.Package instance at 0x1fefdd0>)
agent PreviousPosition:E, CurrentPosition:A --> g = 762, h = 2746, f = 3508, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:F --> g = 590, h = 2919, f = 3509, action: ('take', <package.Package instance at 0x1fe85a8>)
agent PreviousPosition:E, CurrentPosition:E --> g = 668, h = 2842, f = 3510, action: ('take', <package.Package instance at 0x1ff2290>)
agent PreviousPosition:A, CurrentPosition:A --> g = 767, h = 2746, f = 3513, action: ('take', <package.Package instance at 0x20097e8>)
agent PreviousPosition:A, CurrentPosition:D --> g = 917, h = 2596, f = 3513, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:D --> g = 918, h = 2596, f = 3514, action: ('take', <package.Package instance at 0x2186128>)
agent PreviousPosition:D, CurrentPosition:A --> g = 1028, h = 2486, f = 3514, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:D --> g = 920, h = 2596, f = 3516, action: ('take', <package.Package instance at 0x218cb48>)
agent PreviousPosition:D, CurrentPosition:D --> g = 922, h = 2596, f = 3518, action: ('take', <package.Package instance at 0x2197ab8>)
agent PreviousPosition:D, CurrentPosition:F --> g = 1057, h = 2437, f = 3494, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 1148, h = 2298, f = 3446, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 1236, h = 2210, f = 3446, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:E --> g = 1150, h = 2298, f = 3448, action: ('take', <package.Package instance at 0x231f368>)
agent PreviousPosition:F, CurrentPosition:F --> g = 1058, h = 2437, f = 3495, action: ('take', <package.Package instance at 0x2314c20>)
agent PreviousPosition:F, CurrentPosition:E --> g = 1156, h = 2353, f = 3509, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 1252, h = 2221, f = 3473, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:D --> g = 1362, h = 2111, f = 3473, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:D --> g = 1364, h = 2111, f = 3475, action: ('take', <package.Package instance at 0x24a8b00>)
agent PreviousPosition:D, CurrentPosition:F --> g = 1472, h = 2003, f = 3475, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:F --> g = 1474, h = 2003, f = 3477, action: ('take', <package.Package instance at 0x24c03f8>)
agent PreviousPosition:F, CurrentPosition:A --> g = 1630, h = 1847, f = 3477, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:F --> g = 1476, h = 2003, f = 3479, action: ('take', <package.Package instance at 0x24c2710>)
agent PreviousPosition:F, CurrentPosition:E --> g = 1574, h = 1859, f = 3433, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 1670, h = 1763, f = 3433, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:E --> g = 1576, h = 1859, f = 3435, action: ('take', <package.Package instance at 0x24e1ef0>)
agent PreviousPosition:F, CurrentPosition:E --> g = 1558, h = 1943, f = 3501, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:E --> g = 1560, h = 1943, f = 3503, action: ('take', <package.Package instance at 0x24d31b8>)
agent PreviousPosition:E, CurrentPosition:F --> g = 1674, h = 1835, f = 3509, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:A --> g = 1830, h = 1679, f = 3509, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:F --> g = 1241, h = 2269, f = 3510, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:A --> g = 1384, h = 2126, f = 3510, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:F --> g = 1242, h = 2269, f = 3511, action: ('take', <package.Package instance at 0x2338518>)
agent PreviousPosition:F, CurrentPosition:D --> g = 1350, h = 2137, f = 3487, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:A --> g = 1460, h = 2027, f = 3487, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:D --> g = 1352, h = 2137, f = 3489, action: ('take', <package.Package instance at 0x27eb3f8>)
agent PreviousPosition:F, CurrentPosition:F --> g = 1676, h = 1835, f = 3511, action: ('take', <package.Package instance at 0x2655440>)
agent PreviousPosition:F, CurrentPosition:A --> g = 1858, h = 1523, f = 3381, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 1938, h = 1523, f = 3461, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:E --> g = 1942, h = 1523, f = 3465, action: ('take', <package.Package instance at 0x2813440>)
agent PreviousPosition:E, CurrentPosition:D --> g = 2138, h = 1327, f = 3465, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:D --> g = 2142, h = 1327, f = 3469, action: ('take', <package.Package instance at 0x2975d88>)
agent PreviousPosition:D, CurrentPosition:E --> g = 2338, h = 1131, f = 3469, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:E --> g = 2343, h = 1131, f = 3474, action: ('take', <package.Package instance at 0x2986170>)
agent PreviousPosition:E, CurrentPosition:D --> g = 2553, h = 921, f = 3474, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:D --> g = 2558, h = 921, f = 3479, action: ('take', <package.Package instance at 0x29976c8>)
agent PreviousPosition:D, CurrentPosition:A --> g = 2708, h = 771, f = 3479, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:D --> g = 1958, h = 1523, f = 3481, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:D --> g = 1962, h = 1523, f = 3485, action: ('take', <package.Package instance at 0x2810440>)
agent PreviousPosition:D, CurrentPosition:E --> g = 2158, h = 1327, f = 3485, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:E --> g = 2162, h = 1327, f = 3489, action: ('take', <package.Package instance at 0x2b18dd0>)
agent PreviousPosition:E, CurrentPosition:D --> g = 2358, h = 1131, f = 3489, action: ('moveAndDrop', 'D')
agent PreviousPosition:F, CurrentPosition:E --> g = 1774, h = 1715, f = 3489, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:F --> g = 2040, h = 1453, f = 3493, action: ('moveAndDrop', 'F')
agent PreviousPosition:D, CurrentPosition:D --> g = 2363, h = 1131, f = 3494, action: ('take', <package.Package instance at 0x2b2a4d0>)
agent PreviousPosition:D, CurrentPosition:A --> g = 2513, h = 981, f = 3494, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:F --> g = 2268, h = 1229, f = 3497, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:F --> g = 2448, h = 1056, f = 3504, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:F --> g = 1988, h = 1523, f = 3511, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:E --> g = 1158, h = 2353, f = 3511, action: ('take', <package.Package instance at 0x233fb48>)
agent PreviousPosition:D, CurrentPosition:F --> g = 2088, h = 1425, f = 3513, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:F --> g = 1244, h = 2269, f = 3513, action: ('take', <package.Package instance at 0x2676d88>)
agent PreviousPosition:A, CurrentPosition:E --> g = 1750, h = 1763, f = 3513, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:E --> g = 1132, h = 2382, f = 3514, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:E --> g = 1752, h = 1763, f = 3515, action: ('take', <package.Package instance at 0x2649908>)
agent PreviousPosition:E, CurrentPosition:F --> g = 1836, h = 1679, f = 3515, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:F --> g = 1992, h = 1523, f = 3515, action: ('take', <package.Package instance at 0x28157e8>)
agent PreviousPosition:F, CurrentPosition:D --> g = 2118, h = 1397, f = 3515, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:E --> g = 1134, h = 2382, f = 3516, action: ('take', <package.Package instance at 0x2312368>)
agent PreviousPosition:F, CurrentPosition:F --> g = 1838, h = 1679, f = 3517, action: ('take', <package.Package instance at 0x2e45290>)
agent PreviousPosition:E, CurrentPosition:F --> g = 2260, h = 1257, f = 3517, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:A --> g = 1658, h = 1859, f = 3517, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:D --> g = 2122, h = 1397, f = 3519, action: ('take', <package.Package instance at 0x2e52998>)
agent PreviousPosition:D, CurrentPosition:E --> g = 2318, h = 1201, f = 3519, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 2054, h = 1467, f = 3521, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:E --> g = 2322, h = 1201, f = 3523, action: ('take', <package.Package instance at 0x2fd1c20>)
agent PreviousPosition:E, CurrentPosition:D --> g = 2518, h = 1005, f = 3523, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:A --> g = 1688, h = 1835, f = 3523, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:A --> g = 2282, h = 1243, f = 3525, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 688, h = 2837, f = 3525, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 792, h = 2697, f = 3489, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:D --> g = 902, h = 2587, f = 3489, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:D --> g = 903, h = 2587, f = 3490, action: ('take', <package.Package instance at 0x3006ab8>)
agent PreviousPosition:D, CurrentPosition:A --> g = 1013, h = 2477, f = 3490, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:D --> g = 905, h = 2587, f = 3492, action: ('take', <package.Package instance at 0x31665a8>)
agent PreviousPosition:D, CurrentPosition:D --> g = 907, h = 2587, f = 3494, action: ('take', <package.Package instance at 0x31703f8>)
agent PreviousPosition:D, CurrentPosition:F --> g = 1042, h = 2428, f = 3470, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 1133, h = 2289, f = 3422, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 1221, h = 2201, f = 3422, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:E --> g = 1135, h = 2289, f = 3424, action: ('take', <package.Package instance at 0x319efc8>)
agent PreviousPosition:E, CurrentPosition:A --> g = 1239, h = 2105, f = 3344, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:A --> g = 1244, h = 2105, f = 3349, action: ('take', <package.Package instance at 0x3318bd8>)
agent PreviousPosition:A, CurrentPosition:D --> g = 1394, h = 1955, f = 3349, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:D --> g = 1396, h = 1955, f = 3351, action: ('take', <package.Package instance at 0x332b248>)
agent PreviousPosition:D, CurrentPosition:F --> g = 1504, h = 1847, f = 3351, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:F --> g = 1506, h = 1847, f = 3353, action: ('take', <package.Package instance at 0x3340758>)
agent PreviousPosition:F, CurrentPosition:A --> g = 1662, h = 1691, f = 3353, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:F --> g = 1508, h = 1847, f = 3355, action: ('take', <package.Package instance at 0x3343a28>)
agent PreviousPosition:F, CurrentPosition:E --> g = 1606, h = 1703, f = 3309, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 1702, h = 1607, f = 3309, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:E --> g = 1608, h = 1703, f = 3311, action: ('take', <package.Package instance at 0x34baea8>)
agent PreviousPosition:F, CurrentPosition:E --> g = 1590, h = 1787, f = 3377, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:E --> g = 1592, h = 1787, f = 3379, action: ('take', <package.Package instance at 0x34ad440>)
agent PreviousPosition:E, CurrentPosition:F --> g = 1706, h = 1679, f = 3385, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:E --> g = 1782, h = 1607, f = 3389, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:E --> g = 1784, h = 1607, f = 3391, action: ('take', <package.Package instance at 0x34c9830>)
agent PreviousPosition:F, CurrentPosition:A --> g = 1690, h = 1703, f = 3393, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:A --> g = 1720, h = 1679, f = 3399, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 1790, h = 1619, f = 3409, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:D --> g = 1802, h = 1607, f = 3409, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:D --> g = 1806, h = 1607, f = 3413, action: ('take', <package.Package instance at 0x34c7878>)
agent PreviousPosition:D, CurrentPosition:E --> g = 2002, h = 1411, f = 3413, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:E --> g = 2004, h = 1411, f = 3415, action: ('take', <package.Package instance at 0x36725a8>)
agent PreviousPosition:E, CurrentPosition:F --> g = 2088, h = 1327, f = 3415, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:F --> g = 2092, h = 1327, f = 3419, action: ('take', <package.Package instance at 0x37d7128>)
agent PreviousPosition:F, CurrentPosition:D --> g = 2218, h = 1201, f = 3419, action: ('moveAndDrop', 'D')
agent PreviousPosition:F, CurrentPosition:E --> g = 1574, h = 1847, f = 3421, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:E --> g = 1576, h = 1847, f = 3423, action: ('take', <package.Package instance at 0x34a1b00>)
agent PreviousPosition:E, CurrentPosition:F --> g = 1660, h = 1763, f = 3423, action: ('moveAndDrop', 'F')
agent PreviousPosition:D, CurrentPosition:D --> g = 2223, h = 1201, f = 3424, action: ('take', <package.Package instance at 0x37e54d0>)
agent PreviousPosition:D, CurrentPosition:A --> g = 2373, h = 1051, f = 3424, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 1319, h = 2105, f = 3424, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 1662, h = 1763, f = 3425, action: ('take', <package.Package instance at 0x3803710>)
agent PreviousPosition:F, CurrentPosition:A --> g = 1818, h = 1607, f = 3425, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:D --> g = 1614, h = 1811, f = 3425, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:E --> g = 1321, h = 2105, f = 3426, action: ('take', <package.Package instance at 0x3325b00>)
agent PreviousPosition:E, CurrentPosition:F --> g = 1405, h = 2021, f = 3426, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:E --> g = 1137, h = 2289, f = 3426, action: ('take', <package.Package instance at 0x31a1368>)
agent PreviousPosition:F, CurrentPosition:F --> g = 1664, h = 1763, f = 3427, action: ('take', <package.Package instance at 0x38057a0>)
agent PreviousPosition:A, CurrentPosition:A --> g = 1226, h = 2201, f = 3427, action: ('take', <package.Package instance at 0x31a3488>)
agent PreviousPosition:A, CurrentPosition:D --> g = 1376, h = 2051, f = 3427, action: ('moveAndDrop', 'D')
agent PreviousPosition:F, CurrentPosition:F --> g = 1407, h = 2021, f = 3428, action: ('take', <package.Package instance at 0x399ee60>)
agent PreviousPosition:F, CurrentPosition:A --> g = 1563, h = 1865, f = 3428, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:D --> g = 1378, h = 2051, f = 3429, action: ('take', <package.Package instance at 0x3b11368>)
agent PreviousPosition:D, CurrentPosition:F --> g = 1486, h = 1943, f = 3429, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:F --> g = 1409, h = 2021, f = 3430, action: ('take', <package.Package instance at 0x39a0ea8>)
agent PreviousPosition:F, CurrentPosition:E --> g = 1507, h = 1877, f = 3384, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 1603, h = 1781, f = 3384, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:A --> g = 1608, h = 1781, f = 3389, action: ('take', <package.Package instance at 0x3ca8878>)
agent PreviousPosition:A, CurrentPosition:D --> g = 1758, h = 1631, f = 3389, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:D --> g = 1760, h = 1631, f = 3391, action: ('take', <package.Package instance at 0x3cb97e8>)
agent PreviousPosition:F, CurrentPosition:F --> g = 1488, h = 1943, f = 3431, action: ('take', <package.Package instance at 0x3b3bbd8>)
agent PreviousPosition:F, CurrentPosition:A --> g = 1644, h = 1787, f = 3431, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:F --> g = 1490, h = 1943, f = 3433, action: ('take', <package.Package instance at 0x3b3dea8>)
agent PreviousPosition:F, CurrentPosition:E --> g = 1588, h = 1799, f = 3387, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 1684, h = 1703, f = 3387, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:E --> g = 1590, h = 1799, f = 3389, action: ('take', <package.Package instance at 0x3e3d5f0>)
agent PreviousPosition:A, CurrentPosition:A --> g = 1568, h = 1865, f = 3433, action: ('take', <package.Package instance at 0x3b253b0>)
agent PreviousPosition:A, CurrentPosition:D --> g = 1718, h = 1715, f = 3433, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:E --> g = 1742, h = 1691, f = 3433, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 1257, h = 2177, f = 3434, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:E --> g = 1744, h = 1691, f = 3435, action: ('take', <package.Package instance at 0x34b16c8>)
agent PreviousPosition:E, CurrentPosition:F --> g = 1828, h = 1607, f = 3435, action: ('moveAndDrop', 'F')
agent PreviousPosition:D, CurrentPosition:D --> g = 1720, h = 1715, f = 3435, action: ('take', <package.Package instance at 0x3e57c20>)
agent PreviousPosition:F, CurrentPosition:F --> g = 1830, h = 1607, f = 3437, action: ('take', <package.Package instance at 0x3fd6950>)
agent PreviousPosition:A, CurrentPosition:F --> g = 1832, h = 1607, f = 3439, action: ('moveAndDrop', 'F')
agent PreviousPosition:D, CurrentPosition:F --> g = 1484, h = 1955, f = 3439, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:F --> g = 1486, h = 1955, f = 3441, action: ('take', <package.Package instance at 0x3339128>)
agent PreviousPosition:F, CurrentPosition:A --> g = 1642, h = 1799, f = 3441, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:F --> g = 1932, h = 1509, f = 3441, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:D --> g = 1594, h = 1847, f = 3441, action: ('moveAndDrop', 'D')
agent PreviousPosition:F, CurrentPosition:F --> g = 1488, h = 1955, f = 3443, action: ('take', <package.Package instance at 0x3ff6b90>)
agent PreviousPosition:F, CurrentPosition:E --> g = 1586, h = 1811, f = 3397, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 1682, h = 1715, f = 3397, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:E --> g = 1588, h = 1811, f = 3399, action: ('take', <package.Package instance at 0x417def0>)
agent PreviousPosition:F, CurrentPosition:F --> g = 1836, h = 1607, f = 3443, action: ('take', <package.Package instance at 0x34cbcb0>)
agent PreviousPosition:F, CurrentPosition:D --> g = 1962, h = 1481, f = 3443, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:D --> g = 1339, h = 2105, f = 3444, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:D --> g = 1598, h = 1847, f = 3445, action: ('take', <package.Package instance at 0x349fc20>)
agent PreviousPosition:D, CurrentPosition:E --> g = 1794, h = 1651, f = 3445, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:D --> g = 1341, h = 2105, f = 3446, action: ('take', <package.Package instance at 0x3323a28>)
agent PreviousPosition:D, CurrentPosition:F --> g = 1449, h = 1997, f = 3446, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:E --> g = 1796, h = 1651, f = 3447, action: ('take', <package.Package instance at 0x4312638>)
agent PreviousPosition:E, CurrentPosition:F --> g = 1880, h = 1567, f = 3447, action: ('moveAndDrop', 'F')
agent PreviousPosition:D, CurrentPosition:D --> g = 1966, h = 1481, f = 3447, action: ('take', <package.Package instance at 0x419a5f0>)
agent PreviousPosition:D, CurrentPosition:E --> g = 2162, h = 1285, f = 3447, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 1451, h = 1997, f = 3448, action: ('take', <package.Package instance at 0x4326ab8>)
agent PreviousPosition:F, CurrentPosition:A --> g = 1607, h = 1841, f = 3448, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:E --> g = 2164, h = 1285, f = 3449, action: ('take', <package.Package instance at 0x44a2c68>)
agent PreviousPosition:E, CurrentPosition:F --> g = 2248, h = 1201, f = 3449, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:F --> g = 1882, h = 1567, f = 3449, action: ('take', <package.Package instance at 0x43377e8>)
agent PreviousPosition:F, CurrentPosition:A --> g = 2038, h = 1411, f = 3449, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 1746, h = 1703, f = 3449, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:A --> g = 1494, h = 1955, f = 3449, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:F --> g = 1453, h = 1997, f = 3450, action: ('take', <package.Package instance at 0x4328b90>)
agent PreviousPosition:F, CurrentPosition:E --> g = 1551, h = 1853, f = 3404, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 1647, h = 1757, f = 3404, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:E --> g = 1553, h = 1853, f = 3406, action: ('take', <package.Package instance at 0x464dcf8>)
agent PreviousPosition:A, CurrentPosition:A --> g = 1652, h = 1757, f = 3409, action: ('take', <package.Package instance at 0x4651fc8>)
agent PreviousPosition:F, CurrentPosition:F --> g = 1884, h = 1567, f = 3451, action: ('take', <package.Package instance at 0x4339878>)
agent PreviousPosition:F, CurrentPosition:E --> g = 1982, h = 1423, f = 3405, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 2078, h = 1327, f = 3405, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 1491, h = 1961, f = 3452, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:A --> g = 1612, h = 1841, f = 3453, action: ('take', <package.Package instance at 0x44b3290>)
agent PreviousPosition:A, CurrentPosition:D --> g = 1762, h = 1691, f = 3453, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:F --> g = 1690, h = 1763, f = 3453, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:F --> g = 2253, h = 1201, f = 3454, action: ('take', <package.Package instance at 0x44c85f0>)
