agent PreviousPosition:S, CurrentPosition:C --> g = 85730, h = 0, f = 85730, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:AD --> g = 69609, h = 566, f = 70175, action: ('moveAndDrop', 'AD')
agent PreviousPosition:E, CurrentPosition:A --> g = 69479, h = 566, f = 70045, action: ('moveAndDrop', 'A')
agent PreviousPosition:Z, CurrentPosition:E --> g = 69399, h = 566, f = 69965, action: ('moveAndDrop', 'E')
agent PreviousPosition:H, CurrentPosition:Z --> g = 69129, h = 566, f = 69695, action: ('moveAndDrop', 'Z')
agent PreviousPosition:I, CurrentPosition:H --> g = 68809, h = 566, f = 69375, action: ('moveAndDrop', 'H')
agent PreviousPosition:U, CurrentPosition:I --> g = 68639, h = 566, f = 69205, action: ('moveAndDrop', 'I')
agent PreviousPosition:AD, CurrentPosition:U --> g = 68589, h = 566, f = 69155, action: ('moveAndDrop', 'U')
agent PreviousPosition:V, CurrentPosition:AD --> g = 68449, h = 566, f = 69015, action: ('moveAndDrop', 'AD')
agent PreviousPosition:A, CurrentPosition:V --> g = 68269, h = 566, f = 68835, action: ('moveAndDrop', 'V')
agent PreviousPosition:AD, CurrentPosition:A --> g = 68059, h = 566, f = 68625, action: ('moveAndDrop', 'A')
agent PreviousPosition:AC, CurrentPosition:AD --> g = 67929, h = 566, f = 68495, action: ('moveAndDrop', 'AD')
agent PreviousPosition:AD, CurrentPosition:AC --> g = 67729, h = 566, f = 68295, action: ('moveAndDrop', 'AC')
agent PreviousPosition:Z, CurrentPosition:AD --> g = 67529, h = 566, f = 68095, action: ('moveAndDrop', 'AD')
agent PreviousPosition:H, CurrentPosition:Z --> g = 67329, h = 566, f = 67895, action: ('moveAndDrop', 'Z')
agent PreviousPosition:O, CurrentPosition:H --> g = 67009, h = 566, f = 67575, action: ('moveAndDrop', 'H')
agent PreviousPosition:I, CurrentPosition:O --> g = 66819, h = 566, f = 67385, action: ('moveAndDrop', 'O')
agent PreviousPosition:H, CurrentPosition:I --> g = 66699, h = 566, f = 67265, action: ('moveAndDrop', 'I')
agent PreviousPosition:U, CurrentPosition:H --> g = 66529, h = 566, f = 67095, action: ('moveAndDrop', 'H')
agent PreviousPosition:C, CurrentPosition:U --> g = 66309, h = 566, f = 66875, action: ('moveAndDrop', 'U')
agent PreviousPosition:Q, CurrentPosition:C --> g = 66129, h = 566, f = 66695, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:Q --> g = 66049, h = 566, f = 66615, action: ('moveAndDrop', 'Q')
agent PreviousPosition:H, CurrentPosition:A --> g = 65979, h = 566, f = 66545, action: ('moveAndDrop', 'A')
agent PreviousPosition:U, CurrentPosition:H --> g = 65849, h = 566, f = 66415, action: ('moveAndDrop', 'H')
agent PreviousPosition:V, CurrentPosition:U --> g = 65629, h = 566, f = 66195, action: ('moveAndDrop', 'U')
agent PreviousPosition:I, CurrentPosition:V --> g = 65469, h = 566, f = 66035, action: ('moveAndDrop', 'V')
agent PreviousPosition:Q, CurrentPosition:I --> g = 65299, h = 566, f = 65865, action: ('moveAndDrop', 'I')
agent PreviousPosition:C, CurrentPosition:Q --> g = 65169, h = 566, f = 65735, action: ('moveAndDrop', 'Q')
agent PreviousPosition:S, CurrentPosition:C --> g = 65089, h = 566, f = 65655, action: ('moveAndDrop', 'C')
agent PreviousPosition:O, CurrentPosition:S --> g = 65029, h = 566, f = 65595, action: ('moveAndDrop', 'S')
agent PreviousPosition:H, CurrentPosition:O --> g = 64959, h = 566, f = 65525, action: ('moveAndDrop', 'O')
agent PreviousPosition:S, CurrentPosition:H --> g = 64769, h = 566, f = 65335, action: ('moveAndDrop', 'H')
agent PreviousPosition:AD, CurrentPosition:S --> g = 64629, h = 566, f = 65195, action: ('moveAndDrop', 'S')
agent PreviousPosition:O, CurrentPosition:AD --> g = 64529, h = 566, f = 65095, action: ('moveAndDrop', 'AD')
agent PreviousPosition:C, CurrentPosition:O --> g = 64459, h = 566, f = 65025, action: ('moveAndDrop', 'O')
agent PreviousPosition:S, CurrentPosition:C --> g = 64349, h = 566, f = 64915, action: ('moveAndDrop', 'C')
agent PreviousPosition:E, CurrentPosition:S --> g = 64289, h = 566, f = 64855, action: ('moveAndDrop', 'S')
agent PreviousPosition:C, CurrentPosition:E --> g = 64199, h = 566, f = 64765, action: ('moveAndDrop', 'E')
agent PreviousPosition:S, CurrentPosition:C --> g = 64109, h = 566, f = 64675, action: ('moveAndDrop', 'C')
agent PreviousPosition:L, CurrentPosition:S --> g = 64049, h = 566, f = 64615, action: ('moveAndDrop', 'S')
agent PreviousPosition:V, CurrentPosition:L --> g = 63959, h = 566, f = 64525, action: ('moveAndDrop', 'L')
agent PreviousPosition:AC, CurrentPosition:V --> g = 63869, h = 566, f = 64435, action: ('moveAndDrop', 'V')
agent PreviousPosition:Q, CurrentPosition:AC --> g = 63749, h = 566, f = 64315, action: ('moveAndDrop', 'AC')
agent PreviousPosition:AC, CurrentPosition:Q --> g = 63569, h = 566, f = 64135, action: ('moveAndDrop', 'Q')
agent PreviousPosition:AD, CurrentPosition:AC --> g = 63389, h = 566, f = 63955, action: ('moveAndDrop', 'AC')
agent PreviousPosition:H, CurrentPosition:AD --> g = 63189, h = 566, f = 63755, action: ('moveAndDrop', 'AD')
agent PreviousPosition:AC, CurrentPosition:H --> g = 62969, h = 566, f = 63535, action: ('moveAndDrop', 'H')
agent PreviousPosition:I, CurrentPosition:AC --> g = 62649, h = 566, f = 63215, action: ('moveAndDrop', 'AC')
agent PreviousPosition:Z, CurrentPosition:I --> g = 62459, h = 566, f = 63025, action: ('moveAndDrop', 'I')
agent PreviousPosition:S, CurrentPosition:Z --> g = 62269, h = 566, f = 62835, action: ('moveAndDrop', 'Z')
agent PreviousPosition:AD, CurrentPosition:S --> g = 62069, h = 566, f = 62635, action: ('moveAndDrop', 'S')
agent PreviousPosition:S, CurrentPosition:AD --> g = 61969, h = 566, f = 62535, action: ('moveAndDrop', 'AD')
agent PreviousPosition:L, CurrentPosition:S --> g = 61869, h = 566, f = 62435, action: ('moveAndDrop', 'S')
agent PreviousPosition:AC, CurrentPosition:L --> g = 61779, h = 566, f = 62345, action: ('moveAndDrop', 'L')
agent PreviousPosition:C, CurrentPosition:AC --> g = 61669, h = 566, f = 62235, action: ('moveAndDrop', 'AC')
agent PreviousPosition:H, CurrentPosition:C --> g = 61429, h = 566, f = 61995, action: ('moveAndDrop', 'C')
agent PreviousPosition:I, CurrentPosition:H --> g = 61289, h = 566, f = 61855, action: ('moveAndDrop', 'H')
agent PreviousPosition:O, CurrentPosition:I --> g = 61119, h = 566, f = 61685, action: ('moveAndDrop', 'I')
agent PreviousPosition:C, CurrentPosition:O --> g = 60999, h = 566, f = 61565, action: ('moveAndDrop', 'O')
agent PreviousPosition:Q, CurrentPosition:C --> g = 60867, h = 698, f = 61565, action: ('moveAndDrop', 'C')
agent PreviousPosition:AC, CurrentPosition:Q --> g = 60755, h = 722, f = 61477, action: ('moveAndDrop', 'Q')
agent PreviousPosition:AC, CurrentPosition:AC --> g = 60503, h = 1058, f = 61561, action: ('take', <package.Package instance at 0x1520bd40>)
agent PreviousPosition:AC, CurrentPosition:AC --> g = 60501, h = 1058, f = 61559, action: ('take', <package.Package instance at 0x1521f5a8>)
agent PreviousPosition:S, CurrentPosition:AC --> g = 60499, h = 1058, f = 61557, action: ('moveAndDrop', 'AC')
agent PreviousPosition:AC, CurrentPosition:S --> g = 60299, h = 1058, f = 61357, action: ('moveAndDrop', 'S')
agent PreviousPosition:I, CurrentPosition:AC --> g = 60099, h = 1058, f = 61157, action: ('moveAndDrop', 'AC')
agent PreviousPosition:AC, CurrentPosition:I --> g = 59909, h = 1058, f = 60967, action: ('moveAndDrop', 'I')
agent PreviousPosition:H, CurrentPosition:AC --> g = 59719, h = 1058, f = 60777, action: ('moveAndDrop', 'AC')
agent PreviousPosition:E, CurrentPosition:H --> g = 59399, h = 1058, f = 60457, action: ('moveAndDrop', 'H')
agent PreviousPosition:E, CurrentPosition:E --> g = 59230, h = 1227, f = 60457, action: ('take', <package.Package instance at 0x13a73cb0>)
agent PreviousPosition:AD, CurrentPosition:E --> g = 59227, h = 1227, f = 60454, action: ('moveAndDrop', 'E')
agent PreviousPosition:V, CurrentPosition:AD --> g = 59057, h = 1227, f = 60284, action: ('moveAndDrop', 'AD')
agent PreviousPosition:A, CurrentPosition:V --> g = 58877, h = 1227, f = 60104, action: ('moveAndDrop', 'V')
agent PreviousPosition:U, CurrentPosition:A --> g = 58667, h = 1227, f = 59894, action: ('moveAndDrop', 'A')
agent PreviousPosition:I, CurrentPosition:U --> g = 58497, h = 1227, f = 59724, action: ('moveAndDrop', 'U')
agent PreviousPosition:AC, CurrentPosition:I --> g = 58447, h = 1227, f = 59674, action: ('moveAndDrop', 'I')
agent PreviousPosition:Z, CurrentPosition:AC --> g = 58257, h = 1227, f = 59484, action: ('moveAndDrop', 'AC')
agent PreviousPosition:E, CurrentPosition:Z --> g = 58137, h = 1347, f = 59484, action: ('moveAndDrop', 'Z')
agent PreviousPosition:E, CurrentPosition:E --> g = 57813, h = 1551, f = 59364, action: ('take', <package.Package instance at 0x14591998>)
agent PreviousPosition:U, CurrentPosition:E --> g = 57811, h = 1551, f = 59362, action: ('moveAndDrop', 'E')
agent PreviousPosition:AC, CurrentPosition:U --> g = 57641, h = 1551, f = 59192, action: ('moveAndDrop', 'U')
agent PreviousPosition:E, CurrentPosition:AC --> g = 57461, h = 1551, f = 59012, action: ('moveAndDrop', 'AC')
agent PreviousPosition:S, CurrentPosition:E --> g = 57191, h = 1551, f = 58742, action: ('moveAndDrop', 'E')
agent PreviousPosition:O, CurrentPosition:S --> g = 57101, h = 1551, f = 58652, action: ('moveAndDrop', 'S')
agent PreviousPosition:V, CurrentPosition:O --> g = 57031, h = 1551, f = 58582, action: ('moveAndDrop', 'O')
agent PreviousPosition:H, CurrentPosition:V --> g = 56881, h = 1551, f = 58432, action: ('moveAndDrop', 'V')
agent PreviousPosition:Z, CurrentPosition:H --> g = 56581, h = 1551, f = 58132, action: ('moveAndDrop', 'H')
agent PreviousPosition:U, CurrentPosition:Z --> g = 56261, h = 1551, f = 57812, action: ('moveAndDrop', 'Z')
agent PreviousPosition:AC, CurrentPosition:U --> g = 56081, h = 1551, f = 57632, action: ('moveAndDrop', 'U')
agent PreviousPosition:L, CurrentPosition:AC --> g = 55901, h = 1551, f = 57452, action: ('moveAndDrop', 'AC')
agent PreviousPosition:Z, CurrentPosition:L --> g = 55791, h = 1551, f = 57342, action: ('moveAndDrop', 'L')
agent PreviousPosition:O, CurrentPosition:Z --> g = 55681, h = 1551, f = 57232, action: ('moveAndDrop', 'Z')
agent PreviousPosition:L, CurrentPosition:O --> g = 55511, h = 1551, f = 57062, action: ('moveAndDrop', 'O')
agent PreviousPosition:V, CurrentPosition:L --> g = 55451, h = 1551, f = 57002, action: ('moveAndDrop', 'L')
agent PreviousPosition:A, CurrentPosition:V --> g = 55361, h = 1551, f = 56912, action: ('moveAndDrop', 'V')
agent PreviousPosition:H, CurrentPosition:A --> g = 55151, h = 1551, f = 56702, action: ('moveAndDrop', 'A')
agent PreviousPosition:O, CurrentPosition:H --> g = 55021, h = 1551, f = 56572, action: ('moveAndDrop', 'H')
agent PreviousPosition:V, CurrentPosition:O --> g = 54831, h = 1551, f = 56382, action: ('moveAndDrop', 'O')
agent PreviousPosition:AD, CurrentPosition:V --> g = 54681, h = 1551, f = 56232, action: ('moveAndDrop', 'V')
agent PreviousPosition:AC, CurrentPosition:AD --> g = 54501, h = 1551, f = 56052, action: ('moveAndDrop', 'AD')
agent PreviousPosition:Z, CurrentPosition:AC --> g = 54301, h = 1551, f = 55852, action: ('moveAndDrop', 'AC')
agent PreviousPosition:L, CurrentPosition:Z --> g = 54201, h = 1551, f = 55752, action: ('moveAndDrop', 'Z')
agent PreviousPosition:AD, CurrentPosition:L --> g = 54091, h = 1551, f = 55642, action: ('moveAndDrop', 'L')
agent PreviousPosition:U, CurrentPosition:AD --> g = 54001, h = 1551, f = 55552, action: ('moveAndDrop', 'AD')
agent PreviousPosition:A, CurrentPosition:U --> g = 53861, h = 1551, f = 55412, action: ('moveAndDrop', 'U')
agent PreviousPosition:O, CurrentPosition:A --> g = 53691, h = 1551, f = 55242, action: ('moveAndDrop', 'A')
agent PreviousPosition:S, CurrentPosition:O --> g = 53591, h = 1551, f = 55142, action: ('moveAndDrop', 'O')
agent PreviousPosition:O, CurrentPosition:S --> g = 53521, h = 1551, f = 55072, action: ('moveAndDrop', 'S')
agent PreviousPosition:S, CurrentPosition:O --> g = 53451, h = 1551, f = 55002, action: ('moveAndDrop', 'O')
agent PreviousPosition:C, CurrentPosition:S --> g = 53381, h = 1551, f = 54932, action: ('moveAndDrop', 'S')
agent PreviousPosition:L, CurrentPosition:C --> g = 53321, h = 1551, f = 54872, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:L --> g = 53191, h = 1551, f = 54742, action: ('moveAndDrop', 'L')
agent PreviousPosition:A, CurrentPosition:C --> g = 53061, h = 1551, f = 54612, action: ('moveAndDrop', 'C')
agent PreviousPosition:AC, CurrentPosition:A --> g = 53011, h = 1551, f = 54562, action: ('moveAndDrop', 'A')
agent PreviousPosition:U, CurrentPosition:AC --> g = 52781, h = 1551, f = 54332, action: ('moveAndDrop', 'AC')
agent PreviousPosition:I, CurrentPosition:U --> g = 52601, h = 1551, f = 54152, action: ('moveAndDrop', 'U')
agent PreviousPosition:A, CurrentPosition:I --> g = 52551, h = 1551, f = 54102, action: ('moveAndDrop', 'I')
agent PreviousPosition:H, CurrentPosition:A --> g = 52431, h = 1551, f = 53982, action: ('moveAndDrop', 'A')
agent PreviousPosition:U, CurrentPosition:H --> g = 52301, h = 1551, f = 53852, action: ('moveAndDrop', 'H')
agent PreviousPosition:I, CurrentPosition:U --> g = 52081, h = 1551, f = 53632, action: ('moveAndDrop', 'U')
agent PreviousPosition:L, CurrentPosition:I --> g = 52031, h = 1551, f = 53582, action: ('moveAndDrop', 'I')
agent PreviousPosition:E, CurrentPosition:L --> g = 51951, h = 1551, f = 53502, action: ('moveAndDrop', 'L')
agent PreviousPosition:H, CurrentPosition:E --> g = 51791, h = 1551, f = 53342, action: ('moveAndDrop', 'E')
