agent PreviousPosition:A, CurrentPosition:B --> g = 30054, h = 0, f = 30054, action: ('moveAndDrop', 'B')
agent PreviousPosition:D, CurrentPosition:E --> g = 27768, h = 216, f = 27984, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:D --> g = 27748, h = 216, f = 27964, action: ('moveAndDrop', 'D')
agent PreviousPosition:C, CurrentPosition:A --> g = 27658, h = 216, f = 27874, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:C --> g = 27608, h = 216, f = 27824, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:E --> g = 27548, h = 216, f = 27764, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:C --> g = 27488, h = 216, f = 27704, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:D --> g = 27448, h = 216, f = 27664, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:C --> g = 27408, h = 216, f = 27624, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:E --> g = 27348, h = 216, f = 27564, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:C --> g = 27288, h = 216, f = 27504, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:D --> g = 27248, h = 216, f = 27464, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:C --> g = 27208, h = 216, f = 27424, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:D --> g = 27168, h = 216, f = 27384, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:A --> g = 27078, h = 216, f = 27294, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:D --> g = 26988, h = 216, f = 27204, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:A --> g = 26898, h = 216, f = 27114, action: ('moveAndDrop', 'A')
agent PreviousPosition:C, CurrentPosition:D --> g = 26808, h = 216, f = 27024, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:C --> g = 26768, h = 216, f = 26984, action: ('moveAndDrop', 'C')
agent PreviousPosition:E, CurrentPosition:D --> g = 26728, h = 216, f = 26944, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:E --> g = 26708, h = 216, f = 26924, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:A --> g = 26598, h = 216, f = 26814, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:D --> g = 26508, h = 216, f = 26724, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:B --> g = 26438, h = 216, f = 26654, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 26418, h = 216, f = 26634, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 26398, h = 216, f = 26614, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 26308, h = 216, f = 26524, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:B --> g = 26218, h = 216, f = 26434, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:C --> g = 26188, h = 216, f = 26404, action: ('moveAndDrop', 'C')
agent PreviousPosition:D, CurrentPosition:B --> g = 26158, h = 216, f = 26374, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:D --> g = 26088, h = 216, f = 26304, action: ('moveAndDrop', 'D')
agent PreviousPosition:C, CurrentPosition:A --> g = 25998, h = 216, f = 26214, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:C --> g = 25948, h = 216, f = 26164, action: ('moveAndDrop', 'C')
agent PreviousPosition:D, CurrentPosition:E --> g = 25888, h = 216, f = 26104, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:D --> g = 25868, h = 216, f = 26084, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:E --> g = 25848, h = 216, f = 26064, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:D --> g = 25828, h = 216, f = 26044, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:A --> g = 25738, h = 216, f = 25954, action: ('moveAndDrop', 'A')
agent PreviousPosition:C, CurrentPosition:D --> g = 25648, h = 216, f = 25864, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:C --> g = 25608, h = 216, f = 25824, action: ('moveAndDrop', 'C')
agent PreviousPosition:D, CurrentPosition:E --> g = 25548, h = 216, f = 25764, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:D --> g = 25528, h = 216, f = 25744, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:B --> g = 25458, h = 216, f = 25674, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:D --> g = 25388, h = 216, f = 25604, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:A --> g = 25298, h = 216, f = 25514, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:E --> g = 25188, h = 216, f = 25404, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:D --> g = 25168, h = 216, f = 25384, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:C --> g = 25128, h = 216, f = 25344, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:B --> g = 25098, h = 216, f = 25314, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:C --> g = 25068, h = 216, f = 25284, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:E --> g = 25008, h = 216, f = 25224, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:A --> g = 24898, h = 216, f = 25114, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:D --> g = 24808, h = 216, f = 25024, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:B --> g = 24738, h = 216, f = 24954, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:D --> g = 24668, h = 216, f = 24884, action: ('moveAndDrop', 'D')
agent PreviousPosition:C, CurrentPosition:B --> g = 24598, h = 216, f = 24814, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:C --> g = 24562, h = 252, f = 24814, action: ('take', <package.Package instance at 0x2e701b8>)
agent PreviousPosition:D, CurrentPosition:C --> g = 24560, h = 252, f = 24812, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:D --> g = 24520, h = 252, f = 24772, action: ('moveAndDrop', 'D')
agent PreviousPosition:C, CurrentPosition:A --> g = 24430, h = 252, f = 24682, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:C --> g = 24380, h = 252, f = 24632, action: ('moveAndDrop', 'C')
agent PreviousPosition:B, CurrentPosition:D --> g = 24340, h = 252, f = 24592, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:B --> g = 24270, h = 252, f = 24522, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 24180, h = 252, f = 24432, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:B --> g = 24090, h = 252, f = 24342, action: ('moveAndDrop', 'B')
agent PreviousPosition:D, CurrentPosition:E --> g = 24000, h = 252, f = 24252, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:D --> g = 23980, h = 252, f = 24232, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:C --> g = 23940, h = 252, f = 24192, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:E --> g = 23880, h = 252, f = 24132, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:A --> g = 23770, h = 252, f = 24022, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:D --> g = 23680, h = 252, f = 23932, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:B --> g = 23610, h = 252, f = 23862, action: ('moveAndDrop', 'B')
agent PreviousPosition:D, CurrentPosition:E --> g = 23520, h = 252, f = 23772, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:D --> g = 23500, h = 252, f = 23752, action: ('moveAndDrop', 'D')
agent PreviousPosition:C, CurrentPosition:B --> g = 23430, h = 252, f = 23682, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:C --> g = 23394, h = 288, f = 23682, action: ('take', <package.Package instance at 0x2e513f8>)
agent PreviousPosition:E, CurrentPosition:C --> g = 23392, h = 288, f = 23680, action: ('moveAndDrop', 'C')
agent PreviousPosition:B, CurrentPosition:E --> g = 23332, h = 288, f = 23620, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 23242, h = 288, f = 23530, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 23222, h = 288, f = 23510, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 23202, h = 288, f = 23490, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 23112, h = 288, f = 23400, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:B --> g = 23022, h = 288, f = 23310, action: ('moveAndDrop', 'B')
agent PreviousPosition:D, CurrentPosition:E --> g = 22932, h = 288, f = 23220, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:D --> g = 22908, h = 332, f = 23240, action: ('moveAndDrop', 'D')
agent PreviousPosition:C, CurrentPosition:C --> g = 22860, h = 420, f = 23280, action: ('take', <package.Package instance at 0x2d6ef38>)
agent PreviousPosition:C, CurrentPosition:C --> g = 22859, h = 420, f = 23279, action: ('take', <package.Package instance at 0x2d679e0>)
agent PreviousPosition:A, CurrentPosition:C --> g = 22858, h = 420, f = 23278, action: ('moveAndDrop', 'C')
agent PreviousPosition:E, CurrentPosition:A --> g = 22808, h = 420, f = 23228, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:E --> g = 22698, h = 420, f = 23118, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:D --> g = 22678, h = 420, f = 23098, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:A --> g = 22588, h = 420, f = 23008, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 22568, h = 420, f = 22988, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 22548, h = 420, f = 22968, action: ('moveAndDrop', 'A')
agent PreviousPosition:C, CurrentPosition:B --> g = 22528, h = 420, f = 22948, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:C --> g = 22498, h = 420, f = 22918, action: ('moveAndDrop', 'C')
agent PreviousPosition:D, CurrentPosition:A --> g = 22448, h = 420, f = 22868, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:D --> g = 22358, h = 420, f = 22778, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:A --> g = 22268, h = 420, f = 22688, action: ('moveAndDrop', 'A')
agent PreviousPosition:C, CurrentPosition:B --> g = 22246, h = 442, f = 22688, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:C --> g = 22213, h = 475, f = 22688, action: ('take', <package.Package instance at 0x2d5cf80>)
agent PreviousPosition:D, CurrentPosition:C --> g = 22212, h = 475, f = 22687, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:D --> g = 22172, h = 475, f = 22647, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:C --> g = 22132, h = 475, f = 22607, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:B --> g = 22102, h = 475, f = 22577, action: ('moveAndDrop', 'B')
agent PreviousPosition:D, CurrentPosition:C --> g = 22072, h = 475, f = 22547, action: ('moveAndDrop', 'C')
agent PreviousPosition:E, CurrentPosition:D --> g = 22032, h = 475, f = 22507, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:E --> g = 22012, h = 475, f = 22487, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:D --> g = 21992, h = 475, f = 22467, action: ('moveAndDrop', 'D')
agent PreviousPosition:C, CurrentPosition:E --> g = 21972, h = 475, f = 22447, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:C --> g = 21906, h = 541, f = 22447, action: ('take', <package.Package instance at 0x2d477a0>)
agent PreviousPosition:E, CurrentPosition:C --> g = 21905, h = 541, f = 22446, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:E --> g = 21845, h = 541, f = 22386, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 21735, h = 541, f = 22276, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 21715, h = 541, f = 22256, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 21695, h = 541, f = 22236, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:E --> g = 21585, h = 541, f = 22126, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:D --> g = 21565, h = 541, f = 22106, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:C --> g = 21525, h = 541, f = 22066, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:E --> g = 21465, h = 541, f = 22006, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:C --> g = 21405, h = 541, f = 21946, action: ('moveAndDrop', 'C')
agent PreviousPosition:D, CurrentPosition:E --> g = 21345, h = 541, f = 21886, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:D --> g = 21325, h = 541, f = 21866, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:B --> g = 21255, h = 541, f = 21796, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:E --> g = 21165, h = 541, f = 21706, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:A --> g = 21055, h = 541, f = 21596, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:D --> g = 20965, h = 541, f = 21506, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:E --> g = 20945, h = 541, f = 21486, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:A --> g = 20835, h = 541, f = 21376, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:D --> g = 20745, h = 541, f = 21286, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:A --> g = 20655, h = 541, f = 21196, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 20545, h = 541, f = 21086, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 20435, h = 541, f = 20976, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 20415, h = 541, f = 20956, action: ('moveAndDrop', 'B')
agent PreviousPosition:D, CurrentPosition:A --> g = 20395, h = 541, f = 20936, action: ('moveAndDrop', 'A')
agent PreviousPosition:C, CurrentPosition:D --> g = 20305, h = 541, f = 20846, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:C --> g = 20265, h = 541, f = 20806, action: ('moveAndDrop', 'C')
agent PreviousPosition:D, CurrentPosition:B --> g = 20235, h = 541, f = 20776, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:D --> g = 20165, h = 541, f = 20706, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:E --> g = 20145, h = 541, f = 20686, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:B --> g = 20055, h = 541, f = 20596, action: ('moveAndDrop', 'B')
agent PreviousPosition:D, CurrentPosition:E --> g = 19965, h = 541, f = 20506, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:D --> g = 19943, h = 563, f = 20506, action: ('moveAndDrop', 'D')
agent PreviousPosition:C, CurrentPosition:C --> g = 19899, h = 607, f = 20506, action: ('take', <package.Package instance at 0x2b5af38>)
agent PreviousPosition:A, CurrentPosition:C --> g = 19898, h = 607, f = 20505, action: ('moveAndDrop', 'C')
agent PreviousPosition:D, CurrentPosition:A --> g = 19848, h = 607, f = 20455, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:D --> g = 19758, h = 607, f = 20365, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:B --> g = 19688, h = 607, f = 20295, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:E --> g = 19598, h = 607, f = 20205, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:A --> g = 19488, h = 607, f = 20095, action: ('moveAndDrop', 'A')
agent PreviousPosition:C, CurrentPosition:C --> g = 19433, h = 662, f = 20095, action: ('take', <package.Package instance at 0x2b69bd8>)
agent PreviousPosition:D, CurrentPosition:C --> g = 19432, h = 662, f = 20094, action: ('moveAndDrop', 'C')
agent PreviousPosition:B, CurrentPosition:D --> g = 19392, h = 662, f = 20054, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:B --> g = 19322, h = 662, f = 19984, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:D --> g = 19252, h = 662, f = 19914, action: ('moveAndDrop', 'D')
agent PreviousPosition:C, CurrentPosition:A --> g = 19162, h = 662, f = 19824, action: ('moveAndDrop', 'A')
agent PreviousPosition:C, CurrentPosition:C --> g = 19107, h = 717, f = 19824, action: ('take', <package.Package instance at 0x2b5def0>)
agent PreviousPosition:E, CurrentPosition:C --> g = 19106, h = 717, f = 19823, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:E --> g = 19046, h = 717, f = 19763, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:C --> g = 18980, h = 783, f = 19763, action: ('take', <package.Package instance at 0x2b52dd0>)
agent PreviousPosition:D, CurrentPosition:C --> g = 18979, h = 783, f = 19762, action: ('moveAndDrop', 'C')
agent PreviousPosition:E, CurrentPosition:D --> g = 18939, h = 783, f = 19722, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:E --> g = 18919, h = 783, f = 19702, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:A --> g = 18809, h = 783, f = 19592, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:C --> g = 18759, h = 783, f = 19542, action: ('moveAndDrop', 'C')
agent PreviousPosition:E, CurrentPosition:D --> g = 18719, h = 783, f = 19502, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:E --> g = 18699, h = 783, f = 19482, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:B --> g = 18609, h = 783, f = 19392, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:D --> g = 18539, h = 783, f = 19322, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:A --> g = 18449, h = 783, f = 19232, action: ('moveAndDrop', 'A')
agent PreviousPosition:C, CurrentPosition:B --> g = 18429, h = 783, f = 19212, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:C --> g = 18399, h = 783, f = 19182, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:E --> g = 18339, h = 783, f = 19122, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:A --> g = 18229, h = 783, f = 19012, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:C --> g = 18179, h = 783, f = 18962, action: ('moveAndDrop', 'C')
agent PreviousPosition:E, CurrentPosition:A --> g = 18129, h = 783, f = 18912, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:E --> g = 18019, h = 783, f = 18802, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:D --> g = 17999, h = 783, f = 18782, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:E --> g = 17979, h = 783, f = 18762, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:A --> g = 17869, h = 783, f = 18652, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:D --> g = 17779, h = 783, f = 18562, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:A --> g = 17689, h = 783, f = 18472, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:B --> g = 17669, h = 783, f = 18452, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:D --> g = 17599, h = 783, f = 18382, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:C --> g = 17559, h = 783, f = 18342, action: ('moveAndDrop', 'C')
agent PreviousPosition:E, CurrentPosition:B --> g = 17529, h = 783, f = 18312, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 17439, h = 783, f = 18222, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 17349, h = 783, f = 18132, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 17329, h = 783, f = 18112, action: ('moveAndDrop', 'A')
agent PreviousPosition:C, CurrentPosition:E --> g = 17219, h = 783, f = 18002, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:C --> g = 17153, h = 849, f = 18002, action: ('take', <package.Package instance at 0x2a34fc8>)
agent PreviousPosition:B, CurrentPosition:C --> g = 17152, h = 849, f = 18001, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:B --> g = 17122, h = 849, f = 17971, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 17102, h = 849, f = 17951, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 17082, h = 849, f = 17931, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:E --> g = 16992, h = 849, f = 17841, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:C --> g = 16932, h = 849, f = 17781, action: ('moveAndDrop', 'C')
