agent PreviousPosition:B, CurrentPosition:A --> g = 79021, h = 0, f = 79021, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:F --> g = 71819, h = 396, f = 72215, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 71739, h = 396, f = 72135, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:F --> g = 71659, h = 396, f = 72055, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:A --> g = 71569, h = 396, f = 71965, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 71479, h = 396, f = 71875, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:F --> g = 71399, h = 396, f = 71795, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:B --> g = 71299, h = 396, f = 71695, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:E --> g = 71199, h = 396, f = 71595, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 71109, h = 396, f = 71505, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 71019, h = 396, f = 71415, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 70929, h = 396, f = 71325, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 70879, h = 396, f = 71275, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 70829, h = 396, f = 71225, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 70779, h = 396, f = 71175, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:E --> g = 70679, h = 396, f = 71075, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 70589, h = 396, f = 70985, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 70539, h = 396, f = 70935, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 70439, h = 396, f = 70835, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:B --> g = 70339, h = 396, f = 70735, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:E --> g = 70239, h = 396, f = 70635, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 70149, h = 396, f = 70545, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:B --> g = 70099, h = 396, f = 70495, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:F --> g = 69999, h = 396, f = 70395, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:A --> g = 69909, h = 396, f = 70305, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:F --> g = 69819, h = 396, f = 70215, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:A --> g = 69729, h = 396, f = 70125, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 69639, h = 396, f = 70035, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 69539, h = 396, f = 69935, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 69489, h = 396, f = 69885, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 69399, h = 396, f = 69795, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 69299, h = 396, f = 69695, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 69239, h = 456, f = 69695, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 69131, h = 516, f = 69647, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 69035, h = 516, f = 69551, action: ('take', <package.Package instance at 0x53a0680>)
agent PreviousPosition:B, CurrentPosition:F --> g = 69033, h = 516, f = 69549, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:B --> g = 68933, h = 516, f = 69449, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 68883, h = 516, f = 69399, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 68793, h = 516, f = 69309, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:F --> g = 68713, h = 516, f = 69229, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:E --> g = 68633, h = 516, f = 69149, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 68543, h = 516, f = 69059, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 68493, h = 516, f = 69009, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:E --> g = 68393, h = 516, f = 68909, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 68303, h = 516, f = 68819, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 68213, h = 516, f = 68729, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:A --> g = 68123, h = 516, f = 68639, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:F --> g = 68033, h = 516, f = 68549, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:B --> g = 67933, h = 516, f = 68449, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 67833, h = 516, f = 68349, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 67733, h = 516, f = 68249, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:A --> g = 67673, h = 576, f = 68249, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:F --> g = 67565, h = 636, f = 68201, action: ('take', <package.Package instance at 0x5217a70>)
agent PreviousPosition:A, CurrentPosition:F --> g = 67563, h = 636, f = 68199, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:A --> g = 67473, h = 636, f = 68109, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:F --> g = 67383, h = 636, f = 68019, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:B --> g = 67283, h = 636, f = 67919, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:E --> g = 67163, h = 756, f = 67919, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:A --> g = 67037, h = 804, f = 67841, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:F --> g = 66911, h = 852, f = 67763, action: ('take', <package.Package instance at 0x51fb1b8>)
agent PreviousPosition:F, CurrentPosition:F --> g = 66909, h = 852, f = 67761, action: ('take', <package.Package instance at 0x52033f8>)
agent PreviousPosition:E, CurrentPosition:F --> g = 66907, h = 852, f = 67759, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:E --> g = 66827, h = 852, f = 67679, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:B --> g = 66727, h = 852, f = 67579, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:F --> g = 66607, h = 972, f = 67579, action: ('take', <package.Package instance at 0x51ea7e8>)
agent PreviousPosition:B, CurrentPosition:F --> g = 66605, h = 972, f = 67577, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:B --> g = 66505, h = 972, f = 67477, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:E --> g = 66405, h = 972, f = 67377, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:F --> g = 66325, h = 972, f = 67297, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:B --> g = 66225, h = 972, f = 67197, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:E --> g = 66125, h = 972, f = 67097, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:A --> g = 66035, h = 972, f = 67007, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:F --> g = 65945, h = 972, f = 66917, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:A --> g = 65855, h = 972, f = 66827, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 65765, h = 972, f = 66737, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:B --> g = 65665, h = 972, f = 66637, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 65565, h = 972, f = 66537, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 65465, h = 972, f = 66437, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:A --> g = 65405, h = 1032, f = 66437, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:F --> g = 65297, h = 1092, f = 66389, action: ('take', <package.Package instance at 0x507b5f0>)
agent PreviousPosition:B, CurrentPosition:F --> g = 65295, h = 1092, f = 66387, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:B --> g = 65195, h = 1092, f = 66287, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 65095, h = 1092, f = 66187, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 64995, h = 1092, f = 66087, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 64945, h = 1092, f = 66037, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 64895, h = 1092, f = 65987, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:E --> g = 64795, h = 1092, f = 65887, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:F --> g = 64715, h = 1092, f = 65807, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:B --> g = 64615, h = 1092, f = 65707, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:F --> g = 64515, h = 1092, f = 65607, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:B --> g = 64415, h = 1092, f = 65507, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:F --> g = 64315, h = 1092, f = 65407, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 64235, h = 1092, f = 65327, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:F --> g = 64155, h = 1092, f = 65247, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:A --> g = 64065, h = 1092, f = 65157, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:F --> g = 63975, h = 1092, f = 65067, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:A --> g = 63885, h = 1092, f = 64977, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 63835, h = 1092, f = 64927, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:A --> g = 63785, h = 1092, f = 64877, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:F --> g = 63695, h = 1092, f = 64787, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:B --> g = 63595, h = 1092, f = 64687, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:F --> g = 63495, h = 1092, f = 64587, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:B --> g = 63395, h = 1092, f = 64487, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:F --> g = 63275, h = 1212, f = 64487, action: ('take', <package.Package instance at 0x4ee3fc8>)
agent PreviousPosition:B, CurrentPosition:F --> g = 63273, h = 1212, f = 64485, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:B --> g = 63173, h = 1212, f = 64385, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 63123, h = 1212, f = 64335, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 63073, h = 1212, f = 64285, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:E --> g = 62953, h = 1332, f = 64285, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 62857, h = 1332, f = 64189, action: ('take', <package.Package instance at 0x4ed5bd8>)
agent PreviousPosition:A, CurrentPosition:F --> g = 62855, h = 1332, f = 64187, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:A --> g = 62765, h = 1332, f = 64097, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 62715, h = 1332, f = 64047, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 62665, h = 1332, f = 63997, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 62575, h = 1332, f = 63907, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:B --> g = 62475, h = 1332, f = 63807, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:E --> g = 62375, h = 1332, f = 63707, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 62285, h = 1332, f = 63617, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 62195, h = 1332, f = 63527, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:A --> g = 62105, h = 1332, f = 63437, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:F --> g = 62015, h = 1332, f = 63347, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:B --> g = 61915, h = 1332, f = 63247, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 61815, h = 1332, f = 63147, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:B --> g = 61715, h = 1332, f = 63047, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:F --> g = 61615, h = 1332, f = 62947, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:B --> g = 61515, h = 1332, f = 62847, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:E --> g = 61415, h = 1332, f = 62747, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:A --> g = 61325, h = 1332, f = 62657, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:F --> g = 61235, h = 1332, f = 62567, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:A --> g = 61145, h = 1332, f = 62477, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 61095, h = 1332, f = 62427, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:A --> g = 61045, h = 1332, f = 62377, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:F --> g = 60955, h = 1332, f = 62287, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:E --> g = 60875, h = 1332, f = 62207, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:B --> g = 60775, h = 1332, f = 62107, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:E --> g = 60675, h = 1332, f = 62007, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:F --> g = 60595, h = 1332, f = 61927, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:B --> g = 60495, h = 1332, f = 61827, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:E --> g = 60395, h = 1332, f = 61727, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:F --> g = 60315, h = 1332, f = 61647, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:B --> g = 60215, h = 1332, f = 61547, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 60155, h = 1392, f = 61547, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 60047, h = 1452, f = 61499, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 59935, h = 1548, f = 61483, action: ('take', <package.Package instance at 0x4baddd0>)
agent PreviousPosition:F, CurrentPosition:F --> g = 59933, h = 1548, f = 61481, action: ('take', <package.Package instance at 0x4bb1050>)
agent PreviousPosition:B, CurrentPosition:F --> g = 59931, h = 1548, f = 61479, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:B --> g = 59831, h = 1548, f = 61379, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 59771, h = 1608, f = 61379, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 59663, h = 1668, f = 61331, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 59567, h = 1668, f = 61235, action: ('take', <package.Package instance at 0x4d189e0>)
agent PreviousPosition:E, CurrentPosition:F --> g = 59565, h = 1668, f = 61233, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 59485, h = 1668, f = 61153, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:F --> g = 59405, h = 1668, f = 61073, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 59325, h = 1668, f = 60993, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:F --> g = 59245, h = 1668, f = 60913, action: ('moveAndDrop', 'F')
